[09/03/2014 11:34:43AM] INFO - ==== Loading 'Xdebug Client.sublime-package' package ====
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'where()'], line: 1213 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'where()'], line: 1217 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'delete()'], line: 1218 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['image', 'setCid()'], line: 1222 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['image', 'setIsseg()'], line: 1223 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['image', 'setPublic()'], line: 1224 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['image', 'setPath()'], line: 1225 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['image', 'save()'], line: 1226 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'where()'], line: 1230 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'where()'], line: 1234 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'delete()'], line: 1235 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['m', 'setIsseg()'], line: 1239 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['m', 'setPagestyle()'], line: 1240 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['m', 'setPublic()'], line: 1241 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['m', 'setTargetid()'], line: 1242 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['m', 'setValue()'], line: 1243 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['m', 'save()'], line: 1244 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'truncate()'], line: 1250 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'truncate()'], line: 1251 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'query()'], line: 1252 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'query()'], line: 1253 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'truncate()'], line: 1257 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'truncate()'], line: 1258 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'query()'], line: 1259 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'query()'], line: 1260 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'where()'], line: 1264 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'delete()'], line: 1265 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'query()'], line: 1272 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['load', 'helper()'], line: 1288 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['html_content_helper', 'copy_html_contents()'], line: 1292 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['html_content_helper', 'copy_html_contents()'], line: 1297 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'where()'], line: 1302 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'delete()'], line: 1303 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'truncate()'], line: 1326 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'truncate()'], line: 1327 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['db', 'query()'], line: 1334 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['s', 'setName()'], line: 1348 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['s', 'save()'], line: 1349 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['form_validation', 'set_rules()'], line: 1392 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['form_validation', 'set_rules()'], line: 1393 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setName()'], line: 1406 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setUrl()'], line: 1407 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setParent()'], line: 1408 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setColumn()'], line: 1409 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setShow_products()'], line: 1410 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setShow_subcats()'], line: 1411 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setShow_subsubcats()'], line: 1412 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setOrdering()'], line: 1413 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
[09/03/2014 11:45:08AM] INFO - multiple part variable namelist (ignoring): ['cat', 'setExclude()'], line: 1414 in file: '/Users/xmdev/Projects/symphony/code/modules/admin/controllers/mpcats.php'
